program_category,default_channel,Landing_page,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
MED,Organic Search,/education-inequity-and-homework/,12007,-27126,13745,-32183,1,-11,0.00008328475056217206,-0.00022336181371861397
MED,Direct,/education-inequity-and-homework/,3577,-750,3815,-1227,0,-2,0,-0.00046221400508435407
MSAAI,Organic Search,/artificial-intelligence-education/,2228,-15545,2281,-16333,1,-15,0.0004488330341113106,-0.0004514089059100701
MSAAI,Direct,/artificial-intelligence-education/,1009,-2062,1008,-2338,3,-3,0.002973240832507433,0.0010194798426018648
MSAAI,Paid Social,/masters-applied-artificial-intelligence/lp/study-artificial-intelligence/,962,-309,1157,-311,63,21,0.06548856548856549,0.03244371891106746
CyberEng,Paid Social,/masters-cyber-security-engineering/lp/cyber-security-engineering/,944,83,1005,-13,41,-8,0.04343220338983051,-0.013478365715860544
MSAAI,Organic Search,/artificial-intelligence-business/,887,-824,900,-877,2,0,0.002254791431792559,0.0010858843599047742
CyberOps,Paid Social,/masters-cyber-security-operations/lp/bva-cyber-security-operations-leadership/,798,609,870,659,40,38,0.05012531328320802,0.039543302701197436
MED,Organic Search,/life-skills-education-in-schools/,786,,864,,0,,0,
MESH,Paid Social,/masters-engineering-sustainability-health/lp/ppc/,720,95,852,210,62,61,0.08611111111111111,0.0845111111111111
MSNP,Paid Social,/masters-nonprofit-leadership-management/lp/ppc/,718,-961,829,-953,62,29,0.08635097493036212,0.06669641864686003
Informatics,Paid Social,/masters-health-informatics/lp/health-informatics-for-nurses/,705,-1,756,-1,42,21,0.059574468085106386,0.029829425592188537
EML,Paid Social,/masters-engineering-management-leadership/lp/ppc/,628,-28,711,-40,35,18,0.05573248407643312,0.02981784993009166
MSHA,Paid Search,/masters-humanitarian-action/lp/humanitarian-action/,613,79,719,75,28,-1,0.04567699836867863,-0.008630117736190282
CyberOps,Organic Search,/top-100-cybersecurity-companies/,534,-561,526,-516,0,-1,0,-0.0009132420091324201
CyberOps,Paid Search,/masters-cyber-security-operations/lp/bva-cyber-security-operations-leadership/,532,-627,653,-759,36,-21,0.06766917293233082,0.018488845063478365
Default - (not set),Direct,/,530,,638,,1,,0.0018867924528301887,
MESH,Paid Search,/masters-engineering-sustainability-health/lp/ppc/,496,-861,670,-1052,31,-38,0.0625,0.011652542372881353
MSAAI,Organic Search,/ai-impact-on-job-market/,490,-2382,494,-2539,0,-3,0,-0.0010445682451253482
MED,Paid Social,/masters-education/lp/online-med/,465,-261,532,-258,31,14,0.06666666666666667,0.04325068870523416
MTS,Organic Search,/what-is-liturgy/,452,-67,487,-58,1,0,0.0022123893805309734,0.0002856071069278906
MED,Organic Search,/complete-list-teaching-methods/,433,-3030,442,-3645,2,-78,0.004618937644341801,-0.018482419560393978
CyberOps,Organic Search,/top-cyber-security-threats/,425,-4696,420,-4744,0,-2,0,-0.0003905487209529389
MED,Organic Search,/best-masters-degrees-for-teachers/,403,-1846,440,-2084,0,-8,0,-0.0035571365051133837
MSAAI,Paid Search,/masters-applied-artificial-intelligence/lp/study-artificial-intelligence/,403,-629,526,-986,21,-45,0.052109181141439205,-0.01184430723065382
MSAAI,Organic Search,/artificial-intelligence-jobs/,402,-5543,430,-5827,2,-11,0.004975124378109453,0.002788412855821816
EML,Display,/masters-engineering-management-leadership/lp/ppc/,393,391,417,399,7,6,0.017811704834605598,-0.4821882951653944
MSAAI,Organic Search,/ai-blogs/,386,-585,369,-597,0,-1,0,-0.0010298661174047373
Informatics,Paid Social,/masters-health-informatics/lp/study-health-informatics/,379,222,413,186,25,20,0.06596306068601583,0.03411592692805405
Informatics,Organic Search,/8-technologies-changing-healthcare/,370,-1593,410,-1651,0,-2,0,-0.0010188487009679063
MSNNL,Paid Search,/masters-nursing-leadership/lp/ppc/,362,,584,,14,,0.03867403314917127,
MTS,Paid Search,/masters-theological-studies/lp/ppc/,361,-967,445,-1330,15,-80,0.04155124653739612,-0.029984898040917134
MED,Referral,/education-inequity-and-homework/,354,-276,372,-362,0,0,0,0
MTS,Organic Search,/serving-god/,353,-2617,384,-2819,0,-4,0,-0.0013468013468013469
MED,Organic Search,/best-paying-school-districts-ca-teachers/,343,-164,355,-164,0,0,0,0
Data Science,Paid Social,/masters-applied-data-science/lp/study-data-science/,334,-141,353,-212,0,-14,0,-0.029473684210526315
MESH,Organic Search,/high-paying-environmental-jobs/,326,,356,,0,,0,
LEPSL,Paid Social,/masters-law-enforcement-leadership/lp/law-enforcement/,313,,334,,10,,0.03194888178913738,
MSNNL,Paid Social,/masters-nursing-leadership/lp/ppc/,312,,391,,15,,0.04807692307692308,
Default - (not set),Paid Search,/,308,,520,,2,,0.006493506493506494,
MSLDT,Paid Social,/masters-learning-design-technology/lp/instructional-design-for-teachers/,307,,345,,22,,0.07166123778501629,
MSNP,Paid Search,/masters-nonprofit-leadership-management/lp/ppc/,303,-816,387,-1006,8,-51,0.026402640264026403,-0.02632300763588423
LEPSL,Organic Search,/10-innovative-police-technologies/,297,-1485,311,-1517,0,-1,0,-0.0005611672278338945
MTS,Email,/masters-theological-studies/lp/dyna/,289,-519,365,-556,16,-2,0.05536332179930796,0.033086094076535684
Informatics,Paid Search,/masters-health-informatics/lp/study-health-informatics/,288,-227,373,-296,19,-14,0.06597222222222222,0.0018945523193096003
MTS,Organic Search,/theology-careers/,287,-187,311,-181,0,-1,0,-0.002109704641350211
MSHA,Organic Search,/humanitarian-careers/,287,-1001,322,-1031,2,-2,0.006968641114982578,0.0038630510528707774
Default - (not set),Organic Search,/how-to-become-an-entrepreneur/,284,,313,,0,,0,
MSAAI,Organic Search,/masters-applied-artificial-intelligence/,281,-432,451,-985,12,-16,0.042704626334519574,0.0034339390974929274
MED,Organic Search,/teacher-centered-vs-student-centered-learning/,279,-2125,301,-2699,1,-31,0.0035842293906810036,-0.009726918695841458
CyberEng,Paid Social,/masters-cyber-security-engineering/lp/cyber-security-degrees/,276,-214,280,-214,0,0,0,0
Default - (not set),Organic Search,/,275,,421,,0,,0,
MED,Organic Search,/brain-based-learning/,272,-928,265,-1009,0,-4,0,-0.0033333333333333335
MED,Direct,/life-skills-education-in-schools/,267,,279,,0,,0,
MED,Direct,/teacher-centered-vs-student-centered-learning/,266,-336,260,-495,2,-5,0.007518796992481203,-0.004109109984262983
MSAAI,Direct,/artificial-intelligence-business/,261,-21,258,-56,0,-1,0,-0.0035460992907801418
MSAAI,Direct,/masters-applied-artificial-intelligence/,260,-257,394,-592,9,-15,0.03461538461538462,-0.011806278827555423
MSHA,Paid Social,/masters-humanitarian-action/lp/humanitarian-action/,259,-178,297,-205,24,5,0.09266409266409266,0.04918583179452744
MSLDT,Paid Search,/masters-learning-design-technology/lp/study-learning-design-technology/,257,-659,307,-929,17,-45,0.06614785992217899,-0.001537729597471671
MSAAI,Organic Search,/application-of-ai-in-robotics/,256,-388,267,-409,0,-3,0,-0.004658385093167702
MSLDT,Organic Search,/kirkpatrick-training-evaluation-model/,256,250,238,208,0,-2,0,-0.3333333333333333
MSHA,Organic Search,/how-to-become-diplomat/,256,-189,261,-214,0,-1,0,-0.0022471910112359553
CyberEng,Paid Search,/masters-cyber-security-engineering/lp/cyber-security-engineering/,249,-720,296,-921,12,-47,0.04819277108433735,-0.012694741815559449
MSAAI,Organic Search,/entry-level-ai-careers/,247,-831,273,-897,2,0,0.008097165991902834,0.00624187842232955
MED,Paid Search,/masters-education/lp/online-med/,246,-702,381,-948,23,-40,0.09349593495934959,0.02704023875681795
MSHA,Organic Search,/humanitarian-intervention-success-stories/,245,-185,255,-179,0,0,0,0
MSAAI,Organic Search,/ai-ethicist-career/,244,-750,274,-829,3,0,0.012295081967213115,0.009276973315301647
CyberEng,Direct,/masters-cyber-security-engineering/,236,-29,268,-238,0,-8,0,-0.03018867924528302
MED,Direct,/complete-list-teaching-methods/,232,-497,237,-656,2,-11,0.008620689655172414,-0.009211957807104678
EML,Paid Search,/masters-engineering-management-leadership/lp/ppc/,229,-941,320,-1300,18,-46,0.07860262008733625,0.023901765386481547
Informatics,Direct,/8-technologies-changing-healthcare/,225,-46,233,-38,0,0,0,0
Informatics,Direct,/masters-health-informatics/,222,-77,340,-259,3,-3,0.013513513513513514,-0.00655337611859351
MED,Organic Search,/teaching-to-every-students-unique-learning-style/,212,-811,226,-1468,1,-10,0.0047169811320754715,-0.00603570703996754
CyberOps,Organic Search,/top-cyber-security-blogs-websites/,208,-1341,203,-1308,0,-2,0,-0.0012911555842479018
MSLDT,Organic Search,/instructional-design-models/,203,-397,203,-379,0,-4,0,-0.006666666666666667
MTS,Direct,/masters-theological-studies/,201,81,234,3,1,1,0.004975124378109453,0.004975124378109453
MSHA,Organic Search,/international-aid-worker-tips/,201,-401,223,-481,0,-6,0,-0.009966777408637873
MED,Organic Search,/effective-educational-leadership/,199,-1428,258,-2083,1,-13,0.005025125628140704,-0.0035796684714290575
MSAAI,Direct,/ai-impact-on-job-market/,198,-363,194,-398,0,0,0,0
MSITL,Organic Search,/it-job-titles/,197,-620,201,-588,0,0,0,0
Informatics,Paid Search,/masters-health-informatics/lp/study-healthcare-analytics/,195,-319,220,-361,10,-9,0.05128205128205128,0.014317070737304198
MED,Organic Search,/cooperative-learning-strategies/,195,-839,193,-850,0,-2,0,-0.0019342359767891683
MED,Direct,/effective-educational-leadership/,191,-95,234,-143,1,0,0.005235602094240838,0.0017390985977373415
Informatics,Paid Search,/masters-health-informatics/lp/health-informatics-for-nurses/,191,-383,209,-493,7,-31,0.03664921465968586,-0.02955287593264863
MSITL,Paid Social,/masters-information-technology-leadership/lp/ppc/,189,-165,232,-212,7,-17,0.037037037037037035,-0.03075957313245449
MSLDT,Organic Search,/what-is-instructional-design-examples/,181,-379,193,-383,1,-1,0.0055248618784530384,0.001953433307024467
MSHA,Organic Search,/theory-of-change/,180,179,173,172,0,0,0,0
LEPSL,Direct,/masters-law-enforcement-leadership/,180,-99,245,-241,2,-3,0.011111111111111112,-0.0068100358422939055
CyberOps,Direct,/top-100-cybersecurity-companies/,178,-972,173,-1258,0,0,0,0
CyberOps,Direct,/top-cyber-security-threats/,177,-1012,172,-1134,0,0,0,0
MSITL,Organic Search,/information-technology-trends/,175,-332,194,-358,0,0,0,0
MTS,Direct,/what-is-liturgy/,175,-78,191,-107,1,1,0.005714285714285714,0.005714285714285714
EML,Organic Search,/future-engineering-trends/,173,,185,,1,,0.005780346820809248,
MTS,Direct,/serving-god/,170,-383,187,-448,0,0,0,0
MED,Organic Search,/what-is-educational-technology-definition-examples-impact/,169,-1416,180,-1559,0,-1,0,-0.0006309148264984228
LEPSL,Organic Search,/police-communication-important-today/,166,-559,194,-639,0,0,0,0
MTS,Paid Social,/masters-theological-studies/,165,159,174,168,0,0,0,0
MTS,Organic Search,/catholic-charism-comparison/,159,-72,178,-52,0,0,0,0
MSNP,Email,/masters-nonprofit-leadership-management/lp/dyna/,159,-955,170,-1170,6,-58,0.03773584905660377,-0.019714779309643986
MSAAI,Direct,/artificial-intelligence-jobs/,158,-454,165,-507,1,1,0.006329113924050633,0.006329113924050633
MSAAI,Referral,/artificial-intelligence-education/,157,-321,159,-317,0,-1,0,-0.0020920502092050207
MSLDT,Direct,/instructional-design-models/,157,15,157,19,0,0,0,0
