program_category,default_channel,Landing_page,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
MED,Organic Search,/education-inequity-and-homework/,13192,1185,15289,1544,0,-1,0,-0.00008328475056217206
MED,Direct,/education-inequity-and-homework/,4114,537,4331,516,0,0,0,0
"scnr_engine_sink_tracer_44601ad2e5edeeb69b747adc0af7af7e_ec777ec98cfa0e4b0d1cd1bb2ec37414""'`--)()\""&",Direct,"edeeb69b747adc0af7af7e_ec777ec98cfa0e4b0d1cd1bb2ec37414""'`--)()\""&%1'-;%00",1750,,1693,,0,,0,
null,Direct,emRoot%\\win.ini &rem,1640,,1578,,0,,0,
MSAAI,Organic Search,/artificial-intelligence-education/,1542,-686,1602,-679,1,0,0.0006485084306095979,0.0001996753964982873
MED,Organic Search,/life-skills-education-in-schools/,899,113,1005,141,0,0,0,0
MESH,Paid Social,/masters-engineering-sustainability-health/lp/ppc/,816,96,917,65,63,1,0.07720588235294118,-0.00890522875816993
MSAAI,Paid Social,/masters-applied-artificial-intelligence/lp/study-artificial-intelligence/,763,-199,890,-267,48,-15,0.06290956749672345,-0.0025789979918420386
MSAAI,Direct,/artificial-intelligence-education/,731,-278,735,-273,2,-1,0.0027359781121751026,-0.00023726272033233048
MSAAI,Organic Search,/artificial-intelligence-business/,663,-224,668,-232,1,-1,0.0015082956259426848,-0.0007464958058498743
MESH,Paid Search,/masters-engineering-sustainability-health/lp/ppc/,605,109,775,105,37,6,0.06115702479338843,-0.0013429752066115713
Default - (not set),Direct,/,541,11,657,19,1,0,0.0018484288354898336,-0.00003836361734035508
MESH,Display,/masters-engineering-sustainability-health/,511,508,511,508,0,0,0,0
MESH,Organic Search,/high-paying-environmental-jobs/,490,164,534,178,2,2,0.004081632653061225,0.004081632653061225
MSNP,Paid Social,/masters-nonprofit-leadership-management/lp/ppc/,488,-230,552,-277,42,-20,0.0860655737704918,-0.000285401159870316
MSLDT,Paid Social,/masters-learning-design-technology/lp/instructional-design-for-teachers/,482,175,550,205,30,8,0.06224066390041494,-0.009420573884601352
MED,Organic Search,/complete-list-teaching-methods/,481,48,555,113,6,4,0.012474012474012475,0.007855074829670673
MSAAI,Organic Search,/ai-impact-on-job-market/,469,-21,518,24,0,0,0,0
CyberOps,Paid Search,/masters-cyber-security-operations/lp/bva-cyber-security-operations-leadership/,469,-63,573,-80,33,-3,0.07036247334754797,0.002693300415217148
MTS,Paid Search,/masters-theological-studies/lp/ppc/,452,91,579,134,21,6,0.046460176991150445,0.004908930453754325
MSAAI,Organic Search,/artificial-intelligence-jobs/,446,44,477,47,2,0,0.004484304932735426,-0.0004908194453740267
CyberEng,Paid Social,/masters-cyber-security-engineering/lp/cyber-security-engineering/,422,-522,467,-538,24,-17,0.05687203791469194,0.01343983452486143
MED,Organic Search,/best-masters-degrees-for-teachers/,410,7,459,19,2,2,0.004878048780487805,0.004878048780487805
CyberOps,Organic Search,/top-100-cybersecurity-companies/,409,-125,395,-131,0,0,0,0
CyberOps,Paid Social,/masters-cyber-security-operations/lp/bva-cyber-security-operations-leadership/,408,-390,463,-407,30,-10,0.07352941176470588,0.023404098481497868
MED,Organic Search,/best-paying-school-districts-ca-teachers/,398,55,421,66,0,0,0,0
MSNNL,Paid Search,/masters-nursing-leadership/lp/ppc/,380,18,595,11,17,3,0.04473684210526316,0.006062808956091889
MSAAI,Organic Search,/ai-blogs/,373,-13,377,8,0,0,0,0
MED,Organic Search,/brain-based-learning/,364,92,372,107,1,1,0.0027472527472527475,0.0027472527472527475
MTS,Email,/masters-theological-studies/lp/dyna/,349,60,453,88,24,8,0.06876790830945559,0.013404586510147629
Informatics,Paid Social,/masters-health-informatics/lp/health-informatics-for-nurses/,342,-363,389,-367,20,-22,0.05847953216374269,-0.0010949359213636989
MSNNL,Paid Social,/masters-nursing-leadership/lp/ppc/,338,26,431,40,15,0,0.04437869822485207,-0.003698224852071011
MED,Organic Search,/teacher-centered-vs-student-centered-learning/,334,55,386,85,0,-1,0,-0.0035842293906810036
MSHA,Organic Search,/humanitarian-careers/,330,43,352,30,2,0,0.006060606060606061,-0.0009080350543765178
MSAAI,Direct,/masters-applied-artificial-intelligence/,320,60,532,138,5,-4,0.015625,-0.018990384615384617
MED,Referral,/education-inequity-and-homework/,319,6,365,34,0,0,0,0
MTS,Organic Search,/serving-god/,319,-34,376,-8,0,0,0,0
MTS,Organic Search,/what-is-liturgy/,316,-136,334,-153,0,-1,0,-0.0022123893805309734
CyberOps,Organic Search,/top-cyber-security-threats/,314,-111,329,-91,0,0,0,0
