program_category,Channel,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
MED,Organic Search,17594,-1770,20149,-2048,28,-3,0.001591451631237922,-0.005907439119641203
MSAAI,Organic Search,5602,-292,6447,-255,22,-13,0.003927168868261335,-0.3386647625847911
MED,Direct,5538,-1452,6292,-1353,28,4,0.005055976886962802,0.47255326832791616
MSAAI,Direct,2522,-470,3326,-477,35,5,0.01387787470261697,0.38408670367433245
Default - (not set),Direct,2282,-56,3020,160,17,-7,0.007449605609114811,-0.27428425357873215
MTS,Organic Search,2158,-94,2532,-92,4,1,0.0018535681186283596,0.3914118010503552
MSHA,Organic Search,2041,-303,2272,-321,6,-4,0.002939735423811857,-0.3109260166585008
MESH,Organic Search,1892,22,2089,47,3,-7,0.0015856236786469344,-0.7034883720930233
null,Direct,1800,,1729,,0,,0,
"scnr_engine_sink_tracer_ee07205faa831b442be8527d2af02c24_2885edc87c5edd0eda424bad5fd18f68""'`--)()\""&",Direct,1788,,1743,,0,,0,
MSLDT,Organic Search,1691,-166,1887,-212,12,-1,0.007096392667060911,0.013692398671700835
LEPSL,Organic Search,1621,-207,1979,-227,5,-8,0.0030845157310302285,-0.5662696341289801
CyberOps,Organic Search,1461,-148,2556,823,2,-2,0.0013689253935660506,-0.4493497604380561
Informatics,Organic Search,1323,242,1716,334,12,-4,0.009070294784580499,-0.38718820861678005
Default - (not set),Organic Search,1311,-76,1667,-56,11,8,0.008390541571319604,2.879227053140097
Informatics,Paid Search,1181,345,1702,537,88,45,0.07451312447078746,0.4486737687808912
MESH,Paid Social,1128,304,1203,275,52,-18,0.04609929078014184,-0.45734549138804464
LEPSL,Direct,1072,-33,1390,-48,18,5,0.016791044776119403,0.42723880597014924
CyberOps,Direct,1048,-31,1117,-13,9,2,0.008587786259541985,0.32374591057797175
MESH,Paid Search,972,278,1370,430,68,21,0.06995884773662552,0.03300936870676833
Informatics,Paid Social,880,459,1045,572,44,21,0.05,-0.08478260869565214
BSN,Paid Search,876,,979,,35,,0.03995433789954338,
MSLDT,Direct,866,-121,1251,-329,13,5,0.015011547344110854,0.8520496535796765
Informatics,Direct,838,-119,1238,-135,15,-3,0.017899761336515514,-0.04832935560859192
MSLDT,Paid Social,812,232,905,252,58,18,0.07142857142857142,0.03571428571428567
CyberEng,Organic Search,777,113,797,82,1,-1,0.001287001287001287,-0.5727155727155727
MSNP,Organic Search,775,-120,1164,-184,9,-1,0.011612903225806452,0.039354838709677466
MESH,Direct,770,119,1090,203,19,8,0.024675324675324677,0.46033057851239667
MTS,Direct,760,-191,1162,-165,14,1,0.018421052631578946,0.347570850202429
Data Science,Organic Search,731,-69,795,-60,1,0,0.0013679890560875513,0.094391244870041
MSITL,Organic Search,725,8,911,79,2,-1,0.002758620689655172,-0.3406896551724138
EML,Organic Search,711,-50,802,-39,3,0,0.004219409282700422,0.07032348804500704
BSN,Paid Social,662,,708,,39,,0.05891238670694864,
MSHA,Direct,621,-251,865,-215,15,9,0.024154589371980676,2.510466988727858
MSNNL,Paid Search,620,-65,1017,-47,23,-3,0.037096774193548385,-0.02264267990074443
MED,Referral,615,-36,673,-72,2,-3,0.0032520325203252032,-0.5765853658536585
MTS,Paid Search,574,4,817,39,34,9,0.059233449477351915,0.35052264808362377
MSITL,Display,563,501,579,513,1,-2,0.0017761989342806395,-0.9632918886915335
Default - (not set),Paid Search,554,106,836,191,12,4,0.021660649819494584,0.21299638989169675
CyberOps,Paid Search,537,35,695,50,51,5,0.09497206703910614,0.03643429681807136
CyberEng,Direct,507,-11,554,10,1,0,0.0019723865877712033,0.021696252465483262
MSNP,Direct,497,12,1031,-92,23,-10,0.04627766599597585,-0.3198585452106579
MSNP,Paid Search,497,178,654,224,43,25,0.08651911468812877,0.5333109769729487
MSAAI,Referral,482,41,699,-3,1,-7,0.002074688796680498,-0.8856327800829876
MSNNL,Paid Social,469,117,566,121,20,3,0.042643923240938165,-0.11701994230528032
Data Science,Direct,437,-86,476,-108,1,-4,0.002288329519450801,-0.7606407322654463
CyberEng,Paid Search,430,164,491,186,25,13,0.05813953488372093,0.2887596899224807
MSNP,Paid Social,423,-72,538,-25,57,12,0.1347517730496454,0.48226950354609927
CyberOps,Paid Social,417,2,508,24,45,9,0.1079136690647482,0.2440047961630695
EML,Paid Search,416,179,610,300,25,8,0.06009615384615385,-0.16218891402714927
MSITL,Paid Search,402,73,683,212,26,0,0.06467661691542288,-0.18159203980099503
EML,Direct,386,-128,484,-181,6,2,0.015544041450777202,0.9974093264248705
MSITL,Direct,381,-23,639,-49,9,4,0.023622047244094488,0.9086614173228346
