program_category,default_channel,Landing_page,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
MED,Organic Search,/education-inequity-and-homework/,11453,-15613,13283,-17921,1,-2,0.00008731336767659129,-0.00002352680080046479
MED,Direct,/education-inequity-and-homework/,3349,212,3503,64,0,-1,0,-0.000318775900541919
"scnr_engine_sink_tracer_ee07205faa831b442be8527d2af02c24_2885edc87c5edd0eda424bad5fd18f68""'`--)()\""&",Direct,"831b442be8527d2af02c24_2885edc87c5edd0eda424bad5fd18f68""'`--)()\""&%1'-;%00",1788,,1743,,0,,0,
null,Direct,"c23e2abe9b026b1c89d4db_3524dcd141f9011478d243e2d93ac301""'`--)()\""&%1'-;%00",1704,,1633,,0,,0,
MSAAI,Organic Search,/artificial-intelligence-education/,1589,-12178,1669,-12491,1,-15,0.0006293266205160479,-0.0005328728419667007
MESH,Paid Social,/masters-engineering-sustainability-health/lp/ppc/,1123,1063,1197,1136,47,47,0.041852181656277826,0.041852181656277826
MED,Organic Search,/life-skills-education-in-schools/,984,890,1087,992,2,2,0.0020325203252032522,0.0020325203252032522
MESH,Paid Search,/masters-engineering-sustainability-health/lp/ppc/,864,-102,1156,1,61,21,0.07060185185185185,0.02919398435702783
MSAAI,Organic Search,/artificial-intelligence-business/,843,-2100,827,-2027,0,-1,0,-0.0003397893306150187
BSN,Paid Search,/bachelors-nursing/bachelors-nursing-lp-ppc/,808,,904,,35,,0.043316831683168314,
BSN,Paid Social,/bachelors-nursing/bachelors-nursing-lp-ppc/,662,,708,,39,,0.05891238670694864,
MESH,Organic Search,/high-paying-environmental-jobs/,636,,709,,0,,0,
MSAAI,Direct,/artificial-intelligence-education/,607,-2190,602,-2495,0,-4,0,-0.0014301036825169824
Informatics,Paid Social,/masters-health-informatics/lp/health-informatics-for-nurses/,599,-127,709,-115,31,-22,0.05175292153589316,-0.021249833285043485
MSLDT,Paid Social,/masters-learning-design-technology/lp/instructional-design-for-teachers/,573,,649,,39,,0.06806282722513089,
Informatics,Paid Search,/masters-health-informatics/lp/health-informatics-for-nurses/,546,-163,786,-126,42,-32,0.07692307692307693,-0.027449278507106434
MED,Organic Search,/complete-list-teaching-methods/,531,-1230,575,-1326,8,-14,0.015065913370998116,0.002573011610634687
MSITL,Display,/masters-information-technology-leadership/lp/dyna/,530,528,534,532,1,1,0.0018867924528301887,0.0018867924528301887
Default - (not set),Direct,/,523,,666,,4,,0.0076481835564053535,
CyberOps,Paid Search,/masters-cyber-security-operations/lp/bva-cyber-security-operations-leadership/,495,-437,601,-592,39,-15,0.07878787878787878,0.020847964624788655
MTS,Paid Search,/masters-theological-studies/lp/ppc/,480,-785,617,-1072,31,-49,0.06458333333333334,0.0013422266139657552
MED,Organic Search,/best-masters-degrees-for-teachers/,470,-1473,532,-1652,1,0,0.002127659574468085,0.001612991535353314
MED,Organic Search,/best-paying-school-districts-ca-teachers/,469,-612,492,-623,0,0,0,0
MSNNL,Paid Social,/masters-nursing-leadership/lp/ppc/,459,292,546,369,20,19,0.04357298474945534,0.03758496079735953
MSNP,Paid Search,/masters-nonprofit-leadership-management/lp/ppc/,439,-73,554,-139,29,-4,0.06605922551252848,0.0016061005125284772
MSAAI,Organic Search,/ai-impact-on-job-market/,424,-6015,432,-6291,0,-2,0,-0.00031060723714862557
MSNP,Paid Social,/masters-nonprofit-leadership-management/lp/ppc/,413,342,515,429,53,49,0.12832929782082325,0.07199126965180916
MSNNL,Paid Search,/masters-nursing-leadership/lp/ppc/,405,-224,625,-245,16,14,0.03950617283950617,0.036326522601032404
