program_category,Channel,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
MED,Organic Search,13868,-2356,15689,-2586,32,-10,0.0023074704355350445,-0.10865713461617717
MSAAI,Organic Search,9928,-2946,10628,-2956,25,-18,0.002518130539887188,-0.24608342859284518
MED,Direct,4324,-1587,4788,-1633,26,-3,0.006012950971322849,0.22560528246515035
MSAAI,Direct,4149,-1681,4814,-1752,20,-15,0.004820438659918052,-0.19705264607650724
MTS,Organic Search,2535,-193,2950,-108,6,3,0.002366863905325444,1.1522682445759367
MSHA,Organic Search,2059,-211,2274,-144,13,3,0.006313744536182613,0.4332200097134529
LEPSL,Organic Search,2016,-459,2442,-431,3,-9,0.001488095238095238,-0.6930803571428572
CyberOps,Organic Search,1952,-282,2102,-309,3,-8,0.0015368852459016393,-0.6878725782414307
Default - (not set),Direct,1901,-455,2409,-607,12,-14,0.00631246712256707,-0.42799336381661474
MSLDT,Organic Search,1742,-769,2000,-814,20,-2,0.011481056257175661,0.31040601189854927
MESH,Organic Search,1654,45,1920,71,7,-7,0.004232164449818622,-0.5136033857315598
randixploit,Direct,1638,,1588,,0,,0,
Default - (not set),Organic Search,1426,-113,1823,-135,5,-7,0.0035063113604488078,-0.5503155680224404
Informatics,Organic Search,1278,-121,1594,-119,9,-1,0.007042253521126761,-0.014788732394366143
LEPSL,Direct,1036,-126,1351,-120,5,-6,0.004826254826254826,-0.4901719901719902
CyberOps,Direct,1035,-223,1146,-206,11,4,0.010628019323671498,0.9100069013112494
Data Science,Organic Search,1006,-11,1065,-32,4,1,0.003976143141153081,0.3479125248508945
MSNP,Organic Search,957,75,1618,413,6,-4,0.006269592476489028,-0.4470219435736677
MSITL,Organic Search,905,-127,1021,-161,5,1,0.0055248618784530384,0.42541436464088395
MTS,Direct,859,-424,1389,-513,6,-19,0.006984866123399301,-0.6415366705471479
MSLDT,Direct,855,-544,1208,-638,8,-15,0.00935672514619883,-0.43086702262903637
Informatics,Direct,830,-137,1192,-125,12,-6,0.014457831325301205,-0.22329317269076304
MESH,Direct,826,-85,1156,36,7,1,0.00847457627118644,0.28672316384180796
CyberEng,Organic Search,766,-85,856,-34,1,-1,0.0013054830287206266,-0.44451697127937334
EML,Organic Search,730,-23,808,-58,5,2,0.00684931506849315,0.7191780821917808
Data Science,Direct,666,65,746,71,3,-2,0.0045045045045045045,-0.45855855855855854
MSHA,Direct,585,-163,805,-159,13,-5,0.022222222222222223,-0.07654320987654313
Informatics,Paid Search,575,-416,754,-731,28,-59,0.04869565217391304,-0.44531734132933537
MSITL,Direct,533,55,774,-70,6,-5,0.01125703564727955,-0.5108306327818524
CyberEng,Direct,523,-79,627,-21,3,0,0.0057361376673040155,0.15105162523900587
MSAAI,AI Traffic,480,-114,518,-204,1,-2,0.0020833333333333333,-0.5875
MSNP,Direct,443,-92,767,-76,19,-6,0.04288939051918736,-0.08216704288939047
