program_category,Channel,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
MED,Organic Search,16224,1991,18275,1130,42,5,0.002588757,-0.004167999
MSAAI,Organic Search,12874,506,13584,-421,43,7,0.003340065,0.147497972
MED,Direct,5911,866,6421,182,29,-2,0.004906107,-0.201570609
MSAAI,Direct,5830,673,6566,86,35,-12,0.006003431,-0.341283165
MTS,Organic Search,2728,-80,3058,-431,3,-8,0.001099707,-0.71927486
MSLDT,Organic Search,2511,360,2814,344,22,5,0.00876145,0.108581067
LEPSL,Organic Search,2475,229,2873,-110,12,-1,0.004848485,-0.162331002
Default - (not set),Direct,2356,437,3016,232,26,12,0.011035654,0.512672811
MSHA,Organic Search,2270,394,2418,282,10,4,0.004405286,0.377386197
CyberOps,Organic Search,2234,-689,2411,-884,11,4,0.004923903,1.05608134
MESH,Organic Search,1609,26,1849,18,14,8,0.008701057,1.295628755
Default - (not set),Organic Search,1539,24,1958,-163,12,5,0.007797271,0.687552214
Informatics,Organic Search,1399,58,1713,-78,10,7,0.007147963,2.195139385
MSLDT,Direct,1399,432,1846,295,23,-2,0.016440315,-0.364088635
MTS,Direct,1283,34,1902,50,25,13,0.019485581,1.028124188
CyberOps,Direct,1258,-146,1352,-210,7,-5,0.005564388,-0.348966614
LEPSL,Direct,1162,58,1471,-174,11,-17,0.009466437,-0.626751906
MSITL,Organic Search,1032,196,1182,228,4,3,0.003875969,2.240310078
Data Science,Organic Search,1015,9,1094,-31,1,-3,0.000985222,-0.752216749
Informatics,Paid Search,991,-574,1485,-956,87,-48,0.087790111,0.01771499
Informatics,Direct,967,50,1317,-79,18,-9,0.018614271,-0.367804205
MESH,Direct,911,181,1120,-60,6,-10,0.006586169,-0.699506037
MSNP,Organic Search,882,23,1205,146,10,3,0.011337868,0.391318432
CyberEng,Organic Search,851,-132,890,-231,2,-1,0.002350176,-0.229925578
Default - (not set),Paid Search,816,135,1269,97,69,50,0.084558824,2.030766254
EML,Organic Search,753,177,866,178,3,-2,0.003984064,-0.541035857
MSHA,Direct,748,98,964,41,18,-5,0.024064171,-0.319925599
MSNP,Paid Search,622,-81,842,-262,47,11,0.075562701,0.475571633
MSAAI,Referral,608,-37,831,-145,10,5,0.016447368,1.121710526
CyberEng,Direct,602,-19,648,-130,3,-2,0.004983389,-0.381063123
Data Science,Direct,598,-342,670,-400,2,-6,0.003344482,-0.607023411
MSAAI,AI Traffic,594,-18,722,-37,3,-8,0.005050505,-0.719008264
MSNNL,Paid Search,586,-173,993,-522,20,-18,0.034129693,-0.318304293
MSNNL,Display,573,342,1141,887,7,5,0.012216405,0.410994764
MSNP,Paid Social,564,173,672,168,54,11,0.095744681,-0.12939139
MSAAI,Paid Social,554,185,675,179,37,5,0.066787004,-0.229862365
MTS,Paid Search,542,-4,748,-85,55,11,0.101476015,0.259225092
MSNP,Direct,535,90,843,-233,25,3,0.046728972,-0.05480034
MESH,Paid Search,520,-22,697,-187,3,-19,0.005769231,-0.857867133
MSITL,Direct,478,68,844,60,11,8,0.023012552,2.145048815
MSLDT,Paid Search,463,-121,672,-386,35,-43,0.075593952,-0.43401451
MED,Referral,462,-123,544,-174,8,0,0.017316017,0.266233766
MSAAI,Paid Search,461,20,868,27,45,9,0.097613883,0.195770065
EML,Direct,460,78,584,79,7,5,0.015217391,1.906521739
MSHA,Paid Social,459,171,570,147,49,10,0.106753813,-0.211664153
EML,Paid Social,458,-1,483,-27,15,-3,0.032751092,-0.164847162
EML,Paid Search,450,-174,595,-342,19,-13,0.042222222,-0.176666667
CyberOps,Paid Search,411,-14,528,-37,34,-10,0.082725061,-0.200951117
CyberEng,Paid Search,380,-33,443,-113,30,-4,0.078947368,-0.041021672
MED,AI Traffic,350,55,444,57,5,4,0.014285714,3.214285714
MSITL,Paid Social,295,116,348,119,22,12,0.074576271,0.334915254
MSNNL,Direct,287,62,789,278,13,5,0.045296167,0.273954704
MSHA,Paid Search,287,-14,413,-53,44,5,0.153310105,0.183239525
EML,Display,265,264,288,283,9,9,0.033962264,
MED,Paid Social,256,-12,275,-24,5,-1,0.01953125,-0.127604167
Data Science,Paid Search,240,-15,284,-28,2,-1,0.008333333,-0.291666667
MED,Paid Search,231,-91,371,-247,22,-6,0.095238095,0.095238095
LEPSL,Paid Social,224,-152,263,-142,13,-10,0.058035714,-0.051242236
LEPSL,Email,196,31,270,54,20,17,0.102040816,4.612244898
MTS,Email,187,10,240,-64,10,2,0.053475936,0.18315508
LEPSL,Paid Search,179,-2,334,-110,10,-24,0.055865922,-0.702596122
Default - (not set),Referral,178,60,255,24,2,0,0.011235955,-0.337078652
MSITL,Paid Search,165,-32,291,-234,12,-10,0.072727273,-0.348760331
CyberOps,AI Traffic,162,7,197,31,1,0,0.00617284,-0.043209877
LEPSL,Referral,160,-23,219,-46,0,-5,0,-1
Data Science,Paid Social,145,-28,173,-38,1,-1,0.006896552,-0.403448276
MSLDT,Referral,128,-63,179,-112,3,-6,0.0234375,-0.502604167
MESH,Paid Social,124,-260,129,-373,1,-25,0.008064516,-0.8808933
MTS,Paid Social,115,14,146,20,10,7,0.086956522,1.927536232
MSNNL,Organic Search,115,-13,148,-162,2,2,0.017391304,
CyberOps,Referral,112,-17,119,-50,0,0,0,
MESH,Referral,108,56,151,76,4,4,0.037037037,
MSITL,Referral,97,17,190,89,0,0,0,
MSLDT,AI Traffic,88,9,93,-26,2,1,0.022727273,0.795454545
Default - (not set),Paid Social,83,38,86,35,6,4,0.072289157,0.626506024
MSLDT,Paid Social,82,-100,96,-184,8,-41,0.097560976,-0.637630662
Informatics,Paid Social,78,-319,80,-439,3,-61,0.038461538,-0.761418269
Data Science,Referral,77,-11,80,-57,0,-4,0,-1
Default - (not set),Email,75,25,110,53,0,-1,0,-1
MSLDT,Display,74,-69,110,-132,17,-16,0.22972973,-0.004504505
MED,Email,71,30,102,46,3,3,0.042253521,
MED,Organic Social,70,-1,82,-10,0,-1,0,-1
MTS,Referral,70,-1,152,9,2,1,0.028571429,1.028571429
MSAAI,Organic Social,67,-18,74,-30,0,0,0,
Default - (not set),AI Traffic,59,-2,84,-3,1,0,0.016949153,0.033898305
CyberEng,Paid Social,58,-195,61,-264,3,-36,0.051724138,-0.664456233
CyberOps,Paid Social,54,-134,57,-194,0,-17,0,-1
Informatics,Referral,50,5,76,9,1,-1,0.02,-0.55
EML,Referral,47,15,80,27,2,-3,0.042553191,-0.727659574
MSAAI,Email,45,-17,58,-28,1,1,0.022222222,
MSHA,Referral,43,6,68,-12,0,-1,0,-1
"Default - computer-science,engineering,technology",Organic Search,42,4,68,-96,1,1,0.023809524,
CyberEng,AI Traffic,40,9,44,3,0,0,0,
MSNP,AI Traffic,37,-8,42,-40,1,-2,0.027027027,-0.594594595
CyberEng,Referral,36,-10,39,-20,0,-1,0,-1
MSNP,Referral,36,-27,59,-97,4,-3,0.111111111,0
Informatics,AI Traffic,34,-37,44,-164,0,-3,0,-1
Informatics,Email,32,-28,42,-61,0,-1,0,-1
Data Science,AI Traffic,31,-11,34,-14,0,0,0,
