program_category,Channel,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
MTS,Unknown - (not set) / (not set),142473,142458,113083,113068,130,130,0.000912454,
MED,Organic Search,16224,-30880,18275,-42156,42,-159,0.002588757,-0.393329212
MSAAI,Organic Search,12874,-14481,13584,-18912,43,-97,0.003340065,-0.347375108
MED,Direct,5911,-3063,6421,-6019,29,-23,0.004906107,-0.153319105
MSAAI,Direct,5830,-1718,6566,-3919,35,-25,0.006003431,-0.244768439
MTS,Organic Search,2728,-6702,3058,-8305,3,-15,0.001099707,-0.423875855
MSLDT,Organic Search,2511,-3599,2814,-4496,22,-3,0.00876145,1.1412982875348465
LEPSL,Organic Search,2475,-4324,2873,-5610,12,-3,0.004848485,1.1976565656565656
Default - (not set),Direct,2356,1407,3016,1303,26,-8,0.011035653650254669,-0.691975432
MSHA,Organic Search,2270,-1204,2418,-1910,10,-28,0.004405286,-0.597264085
CyberOps,Organic Search,2234,-10457,2411,-12478,11,-1,0.004923903,4.207438078185617
MESH,Organic Search,1609,-2817,1849,-3392,14,1,0.008701057,1.9623751015920068
Default - (not set),Organic Search,1539,1256,1958,1440,12,-24,0.007797271,-0.938704787
MSLDT,Direct,1399,-289,1846,-796,23,2,0.016440314510364547,0.32148813778549307
Informatics,Organic Search,1399,-3686,1713,-4518,10,-6,0.007147963,1.2717119370979268
MTS,Direct,1283,-667,1902,-1306,25,0,0.019485580670303974,0.5198752922837101
CyberOps,Direct,1258,-1436,1352,-2281,7,-12,0.005564388,-0.211028366
LEPSL,Direct,1162,-1072,1471,-1696,11,-10,0.009466437,0.007048603
MSITL,Organic Search,1032,-1595,1182,-1935,4,-4,0.003875969,0.2727713178294573
MSAAI,Referral,1020,96,1289,-94,11,-2,0.010784313725490196,-0.233484163
Data Science,Organic Search,1015,-3194,1094,-3762,1,-8,0.000985222,-0.539244663
Informatics,Paid Search,991,-876,1485,-1175,87,-61,0.087790111,0.10746038672375703
Informatics,Direct,967,-421,1317,-1013,18,-7,0.018614271,0.033464322647362994
MESH,Direct,911,-416,1120,-846,6,-26,0.006586169,-0.726879802
MSNP,Organic Search,882,272,1205,275,10,2,0.011337868480725623,-0.135487528
CyberEng,Organic Search,851,-1854,890,-2131,2,1,0.002350176,5.357226792009401
Default - (not set),Paid Search,816,664,1269,919,69,0,0.084558824,-0.81372549
EML,Organic Search,753,-1272,866,-1423,3,-1,0.003984064,1.0169322709163346
MSHA,Direct,748,123,964,-58,18,8,0.024064171,0.5040106951871657
MED,Referral,704,-419,832,-667,12,6,0.017045454545454544,2.1903409090909087
MSNP,Paid Search,622,-192,842,-292,47,-5,0.075562701,0.1828468958694038
CyberEng,Direct,602,-520,648,-1006,3,-5,0.004983389,-0.301079734
Data Science,Direct,598,-679,670,-1165,2,-12,0.003344482,-0.694935499
MSNNL,Paid Search,586,,993,,20,,0.034129692832764506,
MSNNL,Display,573,,1141,,7,,0.012216404886561954,
MSNP,Paid Social,564,400,672,466,54,49,0.095744681,2.1404255319148935
MSAAI,Paid Social,554,300,675,384,37,34,0.066787004,4.654632972322504
MTS,Paid Search,542,-856,748,-1181,55,-22,0.1014760147601476,0.8423827095413812
MSNP,Direct,535,187,843,-22,25,15,0.046728972,0.6261682242990654
MESH,Paid Search,520,-862,697,-1248,3,-57,0.005769231,-0.867115385
MSITL,Direct,478,-169,844,-515,11,4,0.023012552,1.127017334130305
MSLDT,Paid Search,463,-232,672,-623,35,-2,0.075593952,0.41994045881734876
MSAAI,Paid Search,461,-742,868,-1625,45,-61,0.097613883,0.10782548193017644
EML,Direct,460,-140,584,-260,7,-3,0.015217391304347827,-0.086956522
MSHA,Paid Social,459,126,570,107,49,25,0.10675381263616558,0.48120915032679745
EML,Paid Social,458,396,483,415,15,14,0.032751092,1.0305676855895196
EML,Paid Search,450,-441,595,-624,19,-19,0.042222222222222223,-0.01
CyberOps,Paid Search,411,-322,528,-419,34,26,0.082725061,6.5796836982968365
CyberEng,Paid Search,380,-378,443,-560,30,-12,0.078947368,0.42481203
MSITL,Paid Social,295,87,348,110,22,17,0.074576271,2.102372881355932
MSHA,Paid Search,287,-24,413,-89,44,20,0.15331010452961671,0.9866434378629497
MSNNL,Direct,287,,789,,13,,0.045296167,
EML,Display,265,,288,,9,,0.033962264150943396,
MED,Paid Social,256,161,275,158,5,5,0.01953125,
Data Science,Paid Search,240,-586,284,-1048,2,-9,0.008333333,-0.374242424
CyberOps,Referral,235,-203,270,-322,0,0,0,
MED,Paid Search,231,-684,371,-1610,22,-28,0.095238095,0.7428571428571428
LEPSL,Paid Social,224,154,263,173,13,13,0.058035714,
Default - (not set),Referral,217,155,315,159,3,-2,0.013824884792626729,-0.828571429
LEPSL,Email,196,-42,270,-51,20,13,0.10204081632653061,2.4693877551020407
MSLDT,Referral,195,-10,254,-98,5,-2,0.025641026,-0.249084249
MTS,Email,187,-617,240,-711,10,-12,0.053475935828877004,0.9543023821098686
LEPSL,Referral,183,-219,247,-344,0,-7,0,-1
LEPSL,Paid Search,179,-351,334,-419,10,-23,0.055865921787709494,-0.102759438
MSITL,Paid Search,165,-238,291,-510,12,-19,0.072727273,-0.054545455
Data Science,Paid Social,145,-86,173,-71,1,1,0.006896552,
MESH,Paid Social,124,-22,129,-40,1,-3,0.008064516,-0.705645161
MESH,Referral,117,69,165,94,4,4,0.034188034,
