program_category,default_channel,Landing_page,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
MTS,Unknown - (not set) / (not set),rograms/informatics/healthcare-informatics-admission.php,142473,,113083,,130,,0.000912454,
MED,Organic Search,/education-inequity-and-homework/,9052,1400,10270,820,0,0,0,0
MSAAI,Organic Search,/artificial-intelligence-education/,4806,56,4831,-328,3,-5,0.00062422,-0.001059991
MED,Direct,/education-inequity-and-homework/,2809,403,2920,54,0,0,0,0
MSAAI,Organic Search,/ai-impact-on-job-market/,2129,641,2136,451,2,2,0.000939408,0.000939408
MSAAI,Direct,/artificial-intelligence-education/,1974,161,1970,3,1,-1,0.000506586,-0.000596558
MSAAI,Organic Search,/artificial-intelligence-business/,1416,-304,1378,-373,1,1,0.000706215,0.000706215
MSAAI,Organic Search,/artificial-intelligence-jobs/,1010,-283,1061,-382,3,1,0.002970297,0.001423507
MSAAI,Direct,/ai-impact-on-job-market/,804,254,822,236,0,0,0,0
MSAAI,Direct,/artificial-intelligence-business/,735,186,727,171,0,0,0,0
CyberOps,Organic Search,/top-cyber-security-threats/,639,-455,653,-528,0,-2,0,-0.001828154
MED,Organic Search,/life-skills-education-in-schools/,636,105,675,82,0,-2,0,-0.003766478
Informatics,Organic Search,/8-technologies-changing-healthcare/,613,188,609,126,0,0,0,0
MED,Organic Search,/complete-list-teaching-methods/,607,89,623,26,7,-2,0.011532125205930808,-0.005842392
MSNNL,Display,/masters-nursing-leadership/lp/dyna/,570,349,1136,892,6,4,0.010526315789473684,0.001476542
MSNP,Paid Social,/masters-nonprofit-leadership-management/lp/ppc/,556,180,654,170,50,14,0.089928058,-0.005816623
MSNP,Paid Search,/masters-nonprofit-leadership-management/lp/ppc/,546,-88,696,-261,38,8,0.06959707,0.022278458
Default - (not set),Paid Search,/,525,43,875,18,4,3,0.007619048,0.005544359
MSAAI,Paid Social,/masters-applied-artificial-intelligence/lp/study-artificial-intelligence/,515,170,625,165,36,5,0.069902913,-0.01995216
Default - (not set),Direct,/,508,92,657,30,1,-2,0.001968504,-0.005243035
MED,Organic Search,/best-masters-degrees-for-teachers/,504,77,561,12,0,-2,0,-0.004683841
LEPSL,Organic Search,/10-innovative-police-technologies/,464,50,487,48,0,0,0,0
MED,Organic Search,/teacher-centered-vs-student-centered-learning/,463,-47,563,-49,14,7,0.030237581,0.016512090797442088
MESH,Paid Search,/masters-engineering-sustainability-health/lp/ppc/,462,6,535,-109,1,-16,0.002164502,-0.0351162
MSNNL,Paid Search,/masters-nursing-leadership/lp/ppc/,461,-118,768,-348,16,-11,0.034707158,-0.011924966
EML,Paid Social,/masters-engineering-management-leadership/lp/ppc/,454,-1,478,-27,15,-3,0.033039648,-0.006520792
Informatics,Paid Search,/masters-health-informatics/lp/health-informatics-for-nurses/,453,-407,587,-625,61,-26,0.1346578366445916,0.033495045946917185
MTS,Paid Search,/masters-theological-studies/lp/ppc/,451,11,614,0,46,10,0.10199556541019955,0.020177383592017734
MSAAI,Referral,/artificial-intelligence-education/,437,174,460,119,0,0,0,0
MTS,Organic Search,/serving-god/,436,-91,462,-139,0,-2,0,-0.003795066
MTS,Organic Search,/what-is-liturgy/,435,66,437,32,0,0,0,0
MSLDT,Paid Search,/masters-learning-design-technology/lp/study-learning-design-technology/,428,-73,556,-240,24,-20,0.056074766355140186,-0.031749585
MSHA,Paid Social,/masters-humanitarian-action/lp/humanitarian-action/,426,144,502,85,39,3,0.091549296,-0.036110279
EML,Paid Search,/masters-engineering-management-leadership/lp/ppc/,412,-173,534,-318,19,-13,0.046116505,-0.00858435
