program_category,default_channel,Landing_page,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
EML,Paid Search,/masters-engineering-management-leadership/lp/ppc/,474,-127,609,-287,81,33,0.17088607594936708,0.09101918743023231
EML,Paid Social,/masters-engineering-management-leadership/lp/ppc/,461,4,490,-17,22,2,0.04772234273318872,0.003958666584392222
EML,Display,/masters-engineering-management-leadership/lp/ppc/,264,263,286,281,11,11,0.041666666666666664,0.041666666666666664
Data Science,Organic Search,/quantitative-analyst-career/,194,44,210,41,0,0,0,0
Data Science,Paid Search,/masters-applied-data-science/lp/study-data-science/,176,-33,202,-80,18,-3,0.10227272727272728,0.001794258373205751
Data Science,Paid Social,/masters-applied-data-science/lp/study-data-science/,153,-10,182,-42,17,3,0.1111111111111111,0.025221540558963862
EML,Organic Search,/senior-engineer-vs-tech-lead-vs-lead-engineer/,146,-5,141,-8,0,-1,0,-0.006622516556291391
EML,Organic Search,/engineering-manager-skills/,104,66,104,54,1,-1,0.009615384615384616,-0.0430161943319838
EML,Organic Search,/future-engineering-trends/,73,,65,,0,,0,
Data Science,Direct,/masters-applied-data-science/,72,2,80,-41,0,-2,0,-0.02857142857142857
EML,Direct,/masters-engineering-management-leadership/,68,6,107,13,1,1,0.014705882352941176,0.014705882352941176
EML,Organic Search,/engineering-management-leadership-certifications/,55,-12,58,-15,0,0,0,0
Data Science,Organic Search,/best-degrees-data-science/,52,21,55,9,0,-2,0,-0.06451612903225806
Data Science,Direct,/quantitative-analyst-career/,51,28,53,31,0,0,0,0
Data Science,Organic Search,/business-intelligence-certifications/,47,-4,50,-5,0,0,0,0
EML,Direct,/masters-engineering-management-leadership/curriculum/,45,-3,49,-4,0,0,0,0
Data Science,Organic Search,/companies-hiring-data-scientists/,41,-44,45,-47,0,0,0,0
EML,Organic Search,/chief-engineer-officer-career/,40,20,37,14,0,0,0,0
EML,Direct,/masters-engineering-management-leadership/lp/ppc/,40,19,44,8,2,1,0.05,0.0023809523809523864
Data Science,Organic Search,/data-science-vs-software-engineering/,39,-21,45,-22,0,0,0,0
Data Science,Organic Search,/data-communication/,36,-11,40,-9,0,0,0,0
EML,Organic Search,/masters-engineering-management-leadership/,36,4,81,22,2,2,0.05555555555555555,0.05555555555555555
Data Science,Organic Search,/what-is-data-analytics/,36,-6,35,-13,0,0,0,0
Data Science,Organic Search,/sports-analytics-careers/,36,-11,36,-7,0,0,0,0
Data Science,Organic Search,/career-data-mining/,35,14,35,13,0,0,0,0
Data Science,Organic Search,/database-engineer-career/,30,16,30,10,0,0,0,0
Data Science,Referral,/masters-applied-data-science/,30,-1,34,-17,0,-1,0,-0.03225806451612903
EML,Direct,/future-engineering-trends/,29,,31,,0,,0,
EML,Organic Search,/lead-engineer-career/,29,3,28,-7,0,0,0,0
EML,Direct,/senior-engineer-vs-tech-lead-vs-lead-engineer/,28,-4,26,-5,0,0,0,0
Data Science,Organic Search,/masters-applied-data-science/,28,-12,47,-23,0,-2,0,-0.05
Data Science,Paid Search,/masters-applied-data-science/classes/,27,9,31,9,0,0,0,0
EML,Organic Search,/masters-engineering-management-leadership/lp/ppc/,26,16,27,17,0,0,0,0
Data Science,Direct,/masters-applied-data-science/classes/,26,-10,27,-17,0,0,0,0
Data Science,Organic Search,/how-to-become-a-computer-scientist-salary-career-guide/,25,11,27,9,0,0,0,0
EML,Organic Search,/engineering-scholarships/,24,5,25,-7,0,-1,0,-0.05263157894736842
