program_category,default_channel,Landing_page,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
EML,Paid Search,/masters-engineering-management-leadership/lp/ppc/,474,-357,609,-501,81,40,0.17088607594936708,0.12154792913829608
EML,Paid Social,/masters-engineering-management-leadership/lp/ppc/,461,399,490,422,22,21,0.04772234273318872,0.0315933104751242
EML,Display,/masters-engineering-management-leadership/lp/ppc/,264,,286,,11,,0.041666666666666664,
Data Science,Organic Search,/quantitative-analyst-career/,194,-771,210,-829,0,-1,0,-0.0010362694300518134
Data Science,Paid Search,/masters-applied-data-science/lp/study-data-science/,176,-550,202,-910,18,-6,0.10227272727272728,0.06921487603305786
Data Science,Paid Social,/masters-applied-data-science/lp/study-data-science/,153,-78,182,-63,17,16,0.1111111111111111,0.10678210678210677
EML,Organic Search,/senior-engineer-vs-tech-lead-vs-lead-engineer/,146,-578,141,-629,0,0,0,0
EML,Organic Search,/engineering-manager-skills/,104,-110,104,-119,1,1,0.009615384615384616,0.009615384615384616
EML,Organic Search,/future-engineering-trends/,73,,65,,0,,0,
Data Science,Direct,/masters-applied-data-science/,72,-179,80,-321,0,-2,0,-0.00796812749003984
EML,Direct,/masters-engineering-management-leadership/,68,-33,107,-68,1,-3,0.014705882352941176,-0.024898078043098428
EML,Organic Search,/engineering-management-leadership-certifications/,55,-150,58,-168,0,0,0,0
Data Science,Organic Search,/best-degrees-data-science/,52,-319,55,-361,0,0,0,0
Data Science,Direct,/quantitative-analyst-career/,51,-16,53,-26,0,-1,0,-0.014925373134328358
Data Science,Organic Search,/business-intelligence-certifications/,47,-59,50,-67,0,0,0,0
EML,Direct,/masters-engineering-management-leadership/curriculum/,45,25,49,30,0,0,0,0
Data Science,Organic Search,/companies-hiring-data-scientists/,41,,45,,0,,0,
EML,Direct,/masters-engineering-management-leadership/lp/ppc/,40,-58,44,-114,2,-5,0.05,-0.021428571428571422
EML,Organic Search,/chief-engineer-officer-career/,40,-176,37,-198,0,0,0,0
Data Science,Organic Search,/data-science-vs-software-engineering/,39,-233,45,-256,0,-1,0,-0.003676470588235294
Data Science,Organic Search,/sports-analytics-careers/,36,-79,36,-92,0,0,0,0
EML,Organic Search,/masters-engineering-management-leadership/,36,-18,81,-45,2,-2,0.05555555555555555,-0.018518518518518517
Data Science,Organic Search,/what-is-data-analytics/,36,28,35,26,0,0,0,0
Data Science,Organic Search,/data-communication/,36,-444,40,-528,0,0,0,0
Data Science,Organic Search,/career-data-mining/,35,-34,35,-51,0,0,0,0
Data Science,Organic Search,/database-engineer-career/,30,8,30,8,0,0,0,0
Data Science,Referral,/masters-applied-data-science/,30,16,34,6,0,-2,0,-0.14285714285714285
EML,Organic Search,/lead-engineer-career/,29,,28,,0,,0,
EML,Direct,/future-engineering-trends/,29,,31,,0,,0,
Data Science,Organic Search,/masters-applied-data-science/,28,-82,47,-150,0,0,0,0
EML,Direct,/senior-engineer-vs-tech-lead-vs-lead-engineer/,28,-26,26,-31,0,0,0,0
Data Science,Paid Search,/masters-applied-data-science/classes/,27,17,31,22,0,-1,0,-0.1
EML,Organic Search,/masters-engineering-management-leadership/lp/ppc/,26,20,27,22,0,0,0,0
